"","lhs","op","rhs","mi","epc","sepc.lv","sepc.all","sepc.nox"
"71","gr_1","~~","gr_1",4.4869375688702e-27,7.9546799028758e-13,0,0,0
"106","needsecurity","=~","Nar_5correct",5.92680950324204,-0.106140238631699,-0.178151437397213,-0.100637739947986,-0.100637739947986
"107","needsecurity","=~","nar_6correct",0.859847326942997,0.0383919279595458,0.0644390594803196,0.0387125007377155,0.0387125007377155
"108","needsecurity","=~","nar_7correct",2.69310611532414,0.0798758717276998,0.134067923203212,0.0751465122938186,0.0751465122938186
"109","needsecurity","=~","nar_8correct",0.12683581450369,0.0162296471542376,0.0272407053747995,0.0155295105343576,0.0155295105343576
"110","needsecurity","=~","nar_1",3.64483235005903,-0.094132177304147,-0.157996466827754,-0.0935371552097554,-0.0935371552097554
"111","needsecurity","=~","nar_2",11.4563044899087,0.186135408268512,0.312419596573709,0.160400489902311,0.160400489902311
"112","needsecurity","=~","nar_3",2.81623106901758,-0.0901820544097527,-0.151366369886161,-0.0791347762088851,-0.0791347762088851
"113","needsecurity","=~","nar_4",0.00190968594688338,0.00232846780804636,0.00390822455540167,0.00219806550393767,0.00219806550393767
"114","needsecurity","=~","security_1",3.41697706119145,-0.0835349817503365,-0.140209568619982,-0.0933611726275646,-0.0933611726275646
"115","needsecurity","=~","security_2",5.73054236202498,0.100831687967351,0.169241282836217,0.120548130971353,0.120548130971353
"116","needsecurity","=~","security_3",0.0274954747713728,-0.00730515616283099,-0.0122613637165008,-0.00818018287747914,-0.00818018287747914
"117","needsecurity","=~","security_freedom_1.security_1",0.414910409453245,-0.0265738018837922,-0.0446028863674752,-0.0152123816607541,-0.0152123816607541
"118","needsecurity","=~","security_freedom_1.security_2",0.568714535990115,-0.0389971724983544,-0.0654549341943356,-0.0233196126329359,-0.0233196126329359
"119","needsecurity","=~","security_freedom_1.security_3",0.0197101197513105,0.00601497494109303,0.0100958547434801,0.00346516237163915,0.00346516237163915
"120","needsecurity","=~","security_freedom_2.security_1",0.35228609030952,-0.0360463691221748,-0.0605021484297674,-0.0199704543240426,-0.0199704543240426
"121","needsecurity","=~","security_freedom_2.security_2",1.85072727700991,0.109388987784535,0.183604311243946,0.0664905964747066,0.0664905964747066
"122","needsecurity","=~","security_freedom_2.security_3",0.629634286455284,-0.0483152797808409,-0.0810949424286928,-0.0274655837750126,-0.0274655837750126
"123","needsecurity","=~","security_freedom_3.security_1",0.679544489346433,0.042000082266278,0.0704951781058463,0.0232643957274114,0.0232643957274114
"124","needsecurity","=~","security_freedom_3.security_2",1.66484304986785,0.0712378807986657,0.119569458529778,0.0420067878614135,0.0420067878614135
"125","needsecurity","=~","security_freedom_3.security_3",0.23329999764578,0.0247014954541347,0.0414603073984478,0.0133860800144595,0.0133860800144595
"126","intMainstream","=~","security_freedom_1",0.347113905681819,0.0233515510588407,0.0334281328457457,0.0184372720756782,0.0184372720756782
"127","intMainstream","=~","security_freedom_2",0.00821485871609676,0.00384536721150795,0.00550470697484127,0.00315473351618475,0.00315473351618475
"128","intMainstream","=~","security_freedom_3",0.953875672537524,-0.0417025993152295,-0.05969796294943,-0.0321058696913917,-0.0321058696913917
"129","intMainstream","=~","nar_1",17.9598803112694,0.317031143398293,0.453835342716755,0.268679849263013,0.268679849263013
"130","intMainstream","=~","nar_2",23.2135742741525,-0.408969192308557,-0.5854461853887,-0.300576071340107,-0.300576071340107
"131","intMainstream","=~","nar_3",0.515485848518144,0.0601369379340418,0.0860870245890773,0.045006545578578,0.045006545578578
"132","intMainstream","=~","nar_4",0.23101158485015,0.0386160174971976,0.0552794698569391,0.031090305596837,0.031090305596837
"133","intMainstream","=~","security_1",2.7784551572464,0.0813888491782026,0.116509488197842,0.0775800292907952,0.0775800292907952
"134","intMainstream","=~","security_2",5.2234688056125,0.112315734518187,0.160781837775184,0.114522589956343,0.114522589956343
"135","intMainstream","=~","security_3",0.168826218509839,-0.02052930591682,-0.0293880420914739,-0.0196062660139338,-0.0196062660139338
"136","intMainstream","=~","security_freedom_1.security_1",1.08230512393465,0.0510108935470587,0.0730229406078658,0.0249054026092688,0.0249054026092688
"137","intMainstream","=~","security_freedom_1.security_2",0.441830903473784,0.0417892277257393,0.0598219729566213,0.0213127589761919,0.0213127589761919
"138","intMainstream","=~","security_freedom_1.security_3",2.45208424348843,0.081586030098696,0.116791755957628,0.0400859965148958,0.0400859965148958
"139","intMainstream","=~","security_freedom_2.security_1",0.00249777005902534,-0.00362882077566236,-0.00519471715846979,-0.0017146640975893,-0.0017146640975893
"140","intMainstream","=~","security_freedom_2.security_2",1.89641114039005,-0.134490389829233,-0.192525224828081,-0.0697212224948132,-0.0697212224948132
"141","intMainstream","=~","security_freedom_2.security_3",0.0348567485239468,-0.0138285178136815,-0.0197957527262625,-0.00670451064652616,-0.00670451064652616
"142","intMainstream","=~","security_freedom_3.security_1",2.93942803512897,-0.106252449898287,-0.152102145225217,-0.0501958373974828,-0.0501958373974828
"143","intMainstream","=~","security_freedom_3.security_2",1.62106103797325,-0.0855210821547434,-0.122424848275694,-0.0430099349258327,-0.0430099349258327
"144","intMainstream","=~","security_freedom_3.security_3",1.75634170070613,-0.0824560774047925,-0.11803724311422,-0.0381100884233266,-0.0381100884233266
"145","intMicronarratives","=~","security_freedom_1",0.268733683610672,-0.0283664332405065,-0.0305663775785519,-0.0168588722075571,-0.0168588722075571
"146","intMicronarratives","=~","security_freedom_2",2.68980010907355,-0.0960452134145776,-0.103493951211688,-0.0593121192648614,-0.0593121192648614
"147","intMicronarratives","=~","security_freedom_3",3.66825270607298,0.112891868766293,0.121647140371928,0.0654224540361616,0.0654224540361616
"148","intMicronarratives","=~","Nar_5correct",1.04322939562558,-0.0934713082544557,-0.100720428142762,-0.0568969658789837,-0.0568969658789837
"149","intMicronarratives","=~","nar_6correct",0.364694897760409,-0.0523506836888358,-0.0564107144018124,-0.0338893807654374,-0.0338893807654374
"150","intMicronarratives","=~","nar_7correct",2.8216319457874,0.169178638351562,0.18229920181487,0.102180662480839,0.102180662480839
"151","intMicronarratives","=~","nar_8correct",0.145667311710342,0.0361472437517509,0.0389506249013434,0.0222051570031959,0.0222051570031959
"152","intMicronarratives","=~","security_1",0.152655022014333,-0.0262358214297464,-0.0282705272497901,-0.0188244611321326,-0.0188244611321326
"153","intMicronarratives","=~","security_2",2.50150097109068,0.106787784085431,0.115069656500596,0.0819624608736061,0.0819624608736061
"154","intMicronarratives","=~","security_3",1.50519153734764,0.084250258421778,0.0907842444686801,0.0605668129025627,0.0605668129025627
"155","intMicronarratives","=~","security_freedom_1.security_1",0.229346751172583,-0.0322544867105848,-0.034755967062869,-0.0118539645975583,-0.0118539645975583
"156","intMicronarratives","=~","security_freedom_1.security_2",2.44412174969518,0.134962442330988,0.145429386071762,0.0518120901102773,0.0518120901102773
"157","intMicronarratives","=~","security_freedom_1.security_3",6.03855248237621,0.175803757995107,0.189438129251065,0.0650201388503963,0.0650201388503963
"158","intMicronarratives","=~","security_freedom_2.security_1",1.54824795594216,-0.124087860055378,-0.133711431085068,-0.0441352595963837,-0.0441352595963837
"159","intMicronarratives","=~","security_freedom_2.security_2",0.123658645088952,0.0471583603996809,0.0508157031143312,0.0184024350379457,0.0184024350379457
"160","intMicronarratives","=~","security_freedom_2.security_3",0.0973656799991677,-0.0317356083292889,-0.0341968473319686,-0.0115819352860799,-0.0115819352860799
"161","intMicronarratives","=~","security_freedom_3.security_1",0.0440168839284926,-0.0178537414325449,-0.0192383792911167,-0.00634893450883354,-0.00634893450883354
"162","intMicronarratives","=~","security_freedom_3.security_2",0.241203140277607,-0.0452976659741764,-0.048810703476694,-0.0171480317091275,-0.0171480317091275
